wallet_address,tier,tokens_held,percentage,week_1,week_2,week_3,week_4,total_allocation,status
6aSrey36pvkAKAVvsKL84X4CkDEY4bQCp5hFh8NVcN4j,Diamond,91367587,9.15,250000,250000,250000,250000,1000000,week3_4_sent
ZzBAYTFDehbwrgzzgN8ecYUyHwokDFxfgbA945ZqGf3,Diamond,81155778,8.12,250000,250000,250000,250000,1000000,week3_4_sent
B2YbTVUsC4MTdSCcn7SAFwBcYrZFPxbTBNosNcvGjMuB,Diamond,66142895,6.62,250000,250000,250000,250000,1000000,week3_4_sent
CBReL95M1gS3SaeK7m38mpLKWmeAYk5KqyF9ND4Ta84y,Gold,38795653,3.88,125000,125000,125000,125000,500000,week3_4_sent
36J6TkbFc3QLEtT5V6H9hjXFKcRU5RKxqtbvtq55GEKc,Gold,22730401,2.28,125000,125000,125000,125000,500000,week3_4_sent
EZwbHQ54PwcsL9iHsaEG1ruMEjVHed8iBmv1esA1rs8n,Gold,19624691,1.96,125000,125000,125000,125000,500000,week3_4_sent
Cmw2B5LxVCrmw4zsdJoN4oRh9d5HErfn7mddepNmdky8,Gold,19128554,1.91,125000,125000,125000,125000,500000,week3_4_sent
63878UJuLZPNFTkU99xi4rPqBx4tnvQ5NMk677gwQGsi,Gold,10691783,1.07,125000,125000,125000,125000,500000,week3_4_sent
21BgRJNLCvpQximq33Q2XiXiTBkMGdshRJp5c5mz77os,Gold,10641507,1.07,125000,125000,125000,125000,500000,week3_4_sent
DJwK6keJYc8EZdSTySCjXBFN2QbWN6Xaf8iKiGWSckbh,Gold,10000000,1.00,125000,125000,125000,125000,500000,week3_4_sent
2XipXuKRtwgiV9ZYRg9t485Xw4jH9pTZ6pWJdqYWR6xB,Silver,7735980,0.77,62500,62500,62500,62500,250000,pending
4vpq2KYHw9L1xZQSZddUWFYTrssYaup1ZAUH7JDjyhDa,Silver,7680839,0.77,62500,62500,62500,62500,250000,pending
GUc6q8eyBbppMa7qdNzCUDeVVqzEcqr33QvuZ63QfMQJ,Silver,7666423,0.77,62500,62500,62500,62500,250000,pending
5q7xgZuVPz7Jfip1L6sGgiSzTwxDpLQPzijzMmHeFRU4,Silver,7630909,0.76,62500,62500,62500,62500,250000,pending
H3XibQLNUhxzCfCSuXLDk91C4syvvVxu1BM4VpjzbT25,Silver,6888810,0.69,62500,62500,62500,62500,250000,pending
7v24h67inspXXHkwUf96937WK3oJfXAFtDDsk7DEsbK4,Silver,6394078,0.64,62500,62500,62500,62500,250000,pending
BzK9pyjGhvSDcqWHRBt5P52Eh3sEWkrAhKT24gYRUp2C,Silver,6383753,0.64,62500,62500,62500,62500,250000,pending
HcHud5ttvTkT4H3RSHQ2D8GCDd6ar5zB94mPz8pekMba,Silver,5802662,0.58,62500,62500,62500,62500,250000,pending
GtYdoFGojHz54RXaWw3LQkjF89tdjjETfHv8kW4LRPaH,Silver,5367303,0.54,62500,62500,62500,62500,250000,pending
ARzPMLivPH9GsRnwZWymXcPJX9Br1oEH5od3WzoKmX5Y,Silver,4225429,0.42,62500,62500,62500,62500,250000,pending
BZbk5WEKLcbc7SUaS76jCUmhJiLvkNXbYcWrcJ3K1x4W,Silver,4038126,0.40,62500,62500,62500,62500,250000,pending
