wallet_address,tier,week_checked,initial_balance,current_balance,eligible,reason,checked_at
6aSrey36pvkAKAVvsKL84X4CkDEY4bQCp5hFh8NVcN4j,Diamond,1,91617587479510,91617587479510,true,HOLDING,2026-05-02T02:14:29.715994
ZzBAYTFDehbwrgzzgN8ecYUyHwokDFxfgbA945ZqGf3,Diamond,1,81405778497203,81405778497203,true,HOLDING,2026-05-02T02:14:30.203182
B2YbTVUsC4MTdSCcn7SAFwBcYrZFPxbTBNosNcvGjMuB,Diamond,1,0,0,none,RPC_ERROR,2026-05-02T02:14:45.914079
Em65he1pkAB3eGiMhd76qUujefmJ2KVwwXqxdT2YzMmE,Diamond,1,58696491689568,58696491689568,true,HOLDING,2026-05-02T02:14:46.592798
3NJWD1M1uG9mwWLkGWFQ3LqqDCh1pJSDGfQXmb3fdADH,Diamond,1,57177535276114,57177535276114,true,HOLDING,2026-05-02T02:14:46.990147
5S5VVx5shTBEZfqxBiePif4Y5mmFo1FMxZgLiuHfphz3,Diamond,1,0,0,none,RPC_ERROR,2026-05-02T02:15:02.588340
UpFr5jN23yd6D2neDSqnG3QnkSmpWN6xXpJq7cpWsxf,Diamond,1,50048677833340,50048677833340,true,HOLDING,2026-05-02T02:15:03.255223
9SFtm4S5QNDdMuWwgpy8E7ZhqRfgmjNtE1JLqkzPKj9F,Gold,1,25932629111594,25932629111594,true,HOLDING,2026-05-02T02:15:03.740714
J4wsP4HZHDL5SPa7kZBQGcyksrCdHoYgVFigiW1qFGuC,Gold,1,0,0,none,RPC_ERROR,2026-05-02T02:15:19.225750
CBReL95M1gS3SaeK7m38mpLKWmeAYk5KqyF9ND4Ta84y,Gold,1,38920653012495,38920653012495,true,HOLDING,2026-05-02T02:15:19.861413
9i94aZP57tD8Lz5RxZqXoHPZKvv1i2dX6LQzK5z8EyzH,Gold,1,29847772661155,29847772661155,true,HOLDING,2026-05-02T02:15:20.347621
7erEFC8AoEQW1WL5pfF15ArRRQ4uycTTA6hyncjxVLJD,Gold,1,0,0,none,RPC_ERROR,2026-05-02T02:15:35.900483
36J6TkbFc3QLEtT5V6H9hjXFKcRU5RKxqtbvtq55GEKc,Gold,1,22855400638761,22855400638761,true,HOLDING,2026-05-02T02:15:36.593763
EZwbHQ54PwcsL9iHsaEG1ruMEjVHed8iBmv1esA1rs8n,Gold,1,19749691273954,19749691273954,true,HOLDING,2026-05-02T02:15:37.083714
Cmw2B5LxVCrmw4zsdJoN4oRh9d5HErfn7mddepNmdky8,Gold,1,0,0,none,RPC_ERROR,2026-05-02T02:15:52.742458
A4R3nauxCbbddvm54UP6GD64SoY8BVftDJLd1hMA4yNB,Gold,1,15832948610780,15832948610780,true,HOLDING,2026-05-02T02:15:53.442376
63878UJuLZPNFTkU99xi4rPqBx4tnvQ5NMk677gwQGsi,Gold,1,10816782784622,10816782784622,true,HOLDING,2026-05-02T02:15:53.930926
21BgRJNLCvpQximq33Q2XiXiTBkMGdshRJp5c5mz77os,Gold,1,0,0,none,RPC_ERROR,2026-05-02T02:16:09.623611
DJwK6keJYc8EZdSTySCjXBFN2QbWN6Xaf8iKiGWSckbh,Gold,1,10125000000000,10125000000000,true,HOLDING,2026-05-02T02:16:10.169439
6aSrey36pvkAKAVvsKL84X4CkDEY4bQCp5hFh8NVcN4j,Diamond,1,91617587479510,92378865414052,true,HOLDING,2026-05-15T00:32:51.352037
ZzBAYTFDehbwrgzzgN8ecYUyHwokDFxfgbA945ZqGf3,Diamond,1,81405778497203,81405778747203,true,HOLDING,2026-05-15T00:32:53.461201
B2YbTVUsC4MTdSCcn7SAFwBcYrZFPxbTBNosNcvGjMuB,Diamond,1,0,0,none,RPC_ERROR,2026-05-15T00:33:10.758799
Em65he1pkAB3eGiMhd76qUujefmJ2KVwwXqxdT2YzMmE,Diamond,1,58696491689568,21309218860873,false,SOLD_TOKENS,2026-05-15T00:33:13.860093
3NJWD1M1uG9mwWLkGWFQ3LqqDCh1pJSDGfQXmb3fdADH,Diamond,1,57177535276114,57177535526114,true,HOLDING,2026-05-15T00:33:15.967690
5S5VVx5shTBEZfqxBiePif4Y5mmFo1FMxZgLiuHfphz3,Diamond,1,0,0,none,RPC_ERROR,2026-05-15T00:33:33.188590
UpFr5jN23yd6D2neDSqnG3QnkSmpWN6xXpJq7cpWsxf,Diamond,1,50048677833340,50048678083340,true,HOLDING,2026-05-15T00:33:36.244402
9SFtm4S5QNDdMuWwgpy8E7ZhqRfgmjNtE1JLqkzPKj9F,Gold,1,25932629111594,26084633684746,true,HOLDING,2026-05-15T00:33:38.350566
J4wsP4HZHDL5SPa7kZBQGcyksrCdHoYgVFigiW1qFGuC,Gold,1,0,0,none,RPC_ERROR,2026-05-15T00:33:55.483861
CBReL95M1gS3SaeK7m38mpLKWmeAYk5KqyF9ND4Ta84y,Gold,1,38920653012495,38920653137495,true,HOLDING,2026-05-15T00:33:58.600941
9i94aZP57tD8Lz5RxZqXoHPZKvv1i2dX6LQzK5z8EyzH,Gold,1,29847772661155,29381410089482,false,SOLD_TOKENS,2026-05-15T00:34:00.712044
7erEFC8AoEQW1WL5pfF15ArRRQ4uycTTA6hyncjxVLJD,Gold,1,0,0,none,RPC_ERROR,2026-05-15T00:34:18.005559
36J6TkbFc3QLEtT5V6H9hjXFKcRU5RKxqtbvtq55GEKc,Gold,1,22855400638761,22855400763761,true,HOLDING,2026-05-15T00:34:21.085592
EZwbHQ54PwcsL9iHsaEG1ruMEjVHed8iBmv1esA1rs8n,Gold,1,19749691273954,19749691398954,true,HOLDING,2026-05-15T00:34:23.195346
Cmw2B5LxVCrmw4zsdJoN4oRh9d5HErfn7mddepNmdky8,Gold,1,0,0,none,RPC_ERROR,2026-05-15T00:34:40.464012
A4R3nauxCbbddvm54UP6GD64SoY8BVftDJLd1hMA4yNB,Gold,1,15832948610780,4168814867621,false,SOLD_TOKENS,2026-05-15T00:34:43.554819
63878UJuLZPNFTkU99xi4rPqBx4tnvQ5NMk677gwQGsi,Gold,1,10816782784622,10937943414104,true,HOLDING,2026-05-15T00:34:45.636839
21BgRJNLCvpQximq33Q2XiXiTBkMGdshRJp5c5mz77os,Gold,1,0,0,none,RPC_ERROR,2026-05-15T00:35:02.755784
DJwK6keJYc8EZdSTySCjXBFN2QbWN6Xaf8iKiGWSckbh,Gold,1,0,0,none,RPC_ERROR,2026-05-15T00:35:21.003426
