wallet,tier,amount,status,signature,solscan
6aSrey36pvkAKAVvsKL84X4CkDEY4bQCp5hFh8NVcN4j,Diamond,250000,success,5RFnYT5G24bEKaBWdGu7L8cgaCx4ibfuJZm4d8AGWYJkw96r44VnYVEkPJKHn49GVXpfuTbrzroBo9Y2ow5bmpZo,https://solscan.io/tx/5RFnYT5G24bEKaBWdGu7L8cgaCx4ibfuJZm4d8AGWYJkw96r44VnYVEkPJKHn49GVXpfuTbrzroBo9Y2ow5bmpZo
ZzBAYTFDehbwrgzzgN8ecYUyHwokDFxfgbA945ZqGf3,Diamond,250000,success,4v1vN2tQ7UTDFma5nVdS47aBS3w159NfZWgA2shN8XYbUUf7JSTBSwmEAtYAECVExC4LsPkSu9PbZ6d4pewVMhJk,https://solscan.io/tx/4v1vN2tQ7UTDFma5nVdS47aBS3w159NfZWgA2shN8XYbUUf7JSTBSwmEAtYAECVExC4LsPkSu9PbZ6d4pewVMhJk
B2YbTVUsC4MTdSCcn7SAFwBcYrZFPxbTBNosNcvGjMuB,Diamond,250000,success,4iHRUpbJDq53t9ACdzY1td5otAinPtvQnEh8ALLWyzdry5BnJ4KPDo9YtQcJ53D1SbV6yM3iST94tE5K6nbNLpPg,https://solscan.io/tx/4iHRUpbJDq53t9ACdzY1td5otAinPtvQnEh8ALLWyzdry5BnJ4KPDo9YtQcJ53D1SbV6yM3iST94tE5K6nbNLpPg
CBReL95M1gS3SaeK7m38mpLKWmeAYk5KqyF9ND4Ta84y,Gold,125000,success,4B1VfJNZVGJUe5wg1AgCTUg3TG8B7PiZejLdV3TW2EPUWNBs1uyrX13fAmzMABK6ah21EJr2Wh7HYCF6e9asK71b,https://solscan.io/tx/4B1VfJNZVGJUe5wg1AgCTUg3TG8B7PiZejLdV3TW2EPUWNBs1uyrX13fAmzMABK6ah21EJr2Wh7HYCF6e9asK71b
36J6TkbFc3QLEtT5V6H9hjXFKcRU5RKxqtbvtq55GEKc,Gold,125000,success,2iHyZrgEWUxPFsBomSU8wyj6HFxsPwwpPdG4VNFLhgzooJEnfjiAz5bDqP2CKQz9A3TnBSZ5ceBmsn7xvrSXe3b5,https://solscan.io/tx/2iHyZrgEWUxPFsBomSU8wyj6HFxsPwwpPdG4VNFLhgzooJEnfjiAz5bDqP2CKQz9A3TnBSZ5ceBmsn7xvrSXe3b5
EZwbHQ54PwcsL9iHsaEG1ruMEjVHed8iBmv1esA1rs8n,Gold,125000,success,3gP5zcNDZqPAPwrCH1rkEgpLzAZBRxyrwq5Htdz1piUvZdADvyKXL7yJ8pcfC4gKfLui4g2nZE8gGJgZwWkqtUr9,https://solscan.io/tx/3gP5zcNDZqPAPwrCH1rkEgpLzAZBRxyrwq5Htdz1piUvZdADvyKXL7yJ8pcfC4gKfLui4g2nZE8gGJgZwWkqtUr9
Cmw2B5LxVCrmw4zsdJoN4oRh9d5HErfn7mddepNmdky8,Gold,125000,success,2o9NzvaBm6GMxRvz1VEFB2JqXdpfiyFfboEhyrMwv3xg9qpb8GBETJ4QZfqZSoyeF18LfT15xw9oUKwfxnrJm27z,https://solscan.io/tx/2o9NzvaBm6GMxRvz1VEFB2JqXdpfiyFfboEhyrMwv3xg9qpb8GBETJ4QZfqZSoyeF18LfT15xw9oUKwfxnrJm27z
63878UJuLZPNFTkU99xi4rPqBx4tnvQ5NMk677gwQGsi,Gold,125000,success,3SmsSqJZvkXsinJUcEQK8ys2kSyDf32bMqmkGLXgFFxobd4qEG79eJ35CzV3wbst1GDC28mpPT6Rptc6S4LQQ8J7,https://solscan.io/tx/3SmsSqJZvkXsinJUcEQK8ys2kSyDf32bMqmkGLXgFFxobd4qEG79eJ35CzV3wbst1GDC28mpPT6Rptc6S4LQQ8J7
21BgRJNLCvpQximq33Q2XiXiTBkMGdshRJp5c5mz77os,Gold,125000,success,48fgc5cDChGJJDEuLQPNWyiP5jdTmPUZtPUS3tKZQQyz7mDxBHjLWJGSSxV2wdcu1iYhQnjUDa7rgPbnyb58NMaC,https://solscan.io/tx/48fgc5cDChGJJDEuLQPNWyiP5jdTmPUZtPUS3tKZQQyz7mDxBHjLWJGSSxV2wdcu1iYhQnjUDa7rgPbnyb58NMaC
DJwK6keJYc8EZdSTySCjXBFN2QbWN6Xaf8iKiGWSckbh,Gold,125000,success,4pymy1D3kPhukcP46q383jWKcCoRW7PLmXgUrXj6NdEac3yz5AGEMF6kZAkQQTknVBGUTba5gMfiknx4ousUbzHj,https://solscan.io/tx/4pymy1D3kPhukcP46q383jWKcCoRW7PLmXgUrXj6NdEac3yz5AGEMF6kZAkQQTknVBGUTba5gMfiknx4ousUbzHj
2XipXuKRtwgiV9ZYRg9t485Xw4jH9pTZ6pWJdqYWR6xB,Silver,62500,success,3WAwc4LzzwHPfDA2MBWzmbYbtFubSSfFn8ARtkYUUFwvbhAUTJwx637QY6w6RkHpgSFfrNmCY2A7msc5A9kLj7K2,https://solscan.io/tx/3WAwc4LzzwHPfDA2MBWzmbYbtFubSSfFn8ARtkYUUFwvbhAUTJwx637QY6w6RkHpgSFfrNmCY2A7msc5A9kLj7K2
4vpq2KYHw9L1xZQSZddUWFYTrssYaup1ZAUH7JDjyhDa,Silver,62500,success,N5pmwheGWidHjzqG3iQ1ZSE4nhYKKYbJhMyoxB1QjqTWf7wGomZE9f3hj3v5eVD9vjff21z3rAZK5355gPJgBga,https://solscan.io/tx/N5pmwheGWidHjzqG3iQ1ZSE4nhYKKYbJhMyoxB1QjqTWf7wGomZE9f3hj3v5eVD9vjff21z3rAZK5355gPJgBga
GUc6q8eyBbppMa7qdNzCUDeVVqzEcqr33QvuZ63QfMQJ,Silver,62500,success,41tUFkorQ7Ee3rsnkTSKFJMt7ijVhYyDXMxW7XJnB6jjYQesXgnqzha8oyGugi7n8gtJhMLzQUDBiZWrRKgVUp3Z,https://solscan.io/tx/41tUFkorQ7Ee3rsnkTSKFJMt7ijVhYyDXMxW7XJnB6jjYQesXgnqzha8oyGugi7n8gtJhMLzQUDBiZWrRKgVUp3Z
5q7xgZuVPz7Jfip1L6sGgiSzTwxDpLQPzijzMmHeFRU4,Silver,62500,success,2UuBuAkCNaPkdwWoESqoCGiCeZ4WeX8pHypYsTvDe3QL5bmxYTH8CmZ6B1FwH5QcXZFGphDKQFkaXbLGpNx1idG4,https://solscan.io/tx/2UuBuAkCNaPkdwWoESqoCGiCeZ4WeX8pHypYsTvDe3QL5bmxYTH8CmZ6B1FwH5QcXZFGphDKQFkaXbLGpNx1idG4
H3XibQLNUhxzCfCSuXLDk91C4syvvVxu1BM4VpjzbT25,Silver,62500,success,2quJ13zupZa7JwtaR9UuWt66VTwtKrNsyELH2nd1kXzpag2jvRi46YCHwXSFfV9rg978x5TLb5RYJJn74Wys6di5,https://solscan.io/tx/2quJ13zupZa7JwtaR9UuWt66VTwtKrNsyELH2nd1kXzpag2jvRi46YCHwXSFfV9rg978x5TLb5RYJJn74Wys6di5
7v24h67inspXXHkwUf96937WK3oJfXAFtDDsk7DEsbK4,Silver,62500,success,4yyYornz7jtmB6Vx5pG4KxYX6WirZfEEoXomwqDD82KDEVH2njzYWkBNKyiFVYznakrHQEeNqYyMGWFRFfEydR4t,https://solscan.io/tx/4yyYornz7jtmB6Vx5pG4KxYX6WirZfEEoXomwqDD82KDEVH2njzYWkBNKyiFVYznakrHQEeNqYyMGWFRFfEydR4t
BzK9pyjGhvSDcqWHRBt5P52Eh3sEWkrAhKT24gYRUp2C,Silver,62500,success,2JF9VWPc8BdQyxJnR57PnCTR33xbVcfXynMDq5EKLzq9XDtbY7C8km1CmryMEmk1rD7TA9WMrAAXpAdVZBJE2BVv,https://solscan.io/tx/2JF9VWPc8BdQyxJnR57PnCTR33xbVcfXynMDq5EKLzq9XDtbY7C8km1CmryMEmk1rD7TA9WMrAAXpAdVZBJE2BVv
HcHud5ttvTkT4H3RSHQ2D8GCDd6ar5zB94mPz8pekMba,Silver,62500,success,2AaCuvoVzx7BYhfBsDj3YYaHTWUTR7x6LXYKsJEzVPnHMwXq8h4CGBKjtJf3WMC9zRpF37Zx7scFDUWtSbQ23UeQ,https://solscan.io/tx/2AaCuvoVzx7BYhfBsDj3YYaHTWUTR7x6LXYKsJEzVPnHMwXq8h4CGBKjtJf3WMC9zRpF37Zx7scFDUWtSbQ23UeQ
GtYdoFGojHz54RXaWw3LQkjF89tdjjETfHv8kW4LRPaH,Silver,62500,success,2ACSfKEFyMbiyeXYUNHz937hrWPrBMGstvU771Z9HEgRio23Jrtj2hZQ5dedpTPKZY9HhZae4ciMjySuRM7LTZaD,https://solscan.io/tx/2ACSfKEFyMbiyeXYUNHz937hrWPrBMGstvU771Z9HEgRio23Jrtj2hZQ5dedpTPKZY9HhZae4ciMjySuRM7LTZaD
ARzPMLivPH9GsRnwZWymXcPJX9Br1oEH5od3WzoKmX5Y,Silver,62500,success,4Cod3i7WgSEfmP8xk8ZxGZVQt7iDPUaMwan5kTQ7BDMbn1eG8uSZytYrosk8WEVcuFG19VVETkS3NnPfbabo3YzP,https://solscan.io/tx/4Cod3i7WgSEfmP8xk8ZxGZVQt7iDPUaMwan5kTQ7BDMbn1eG8uSZytYrosk8WEVcuFG19VVETkS3NnPfbabo3YzP
BZbk5WEKLcbc7SUaS76jCUmhJiLvkNXbYcWrcJ3K1x4W,Silver,62500,success,2ZXA1HKcJogdBzMtWbhiDKcfSmLFCT84kL5vjw2Mrg3eir3o3Gj1XNHdH99XMyPH5s29Xu1hxVFAu4EZDNqDZuHR,https://solscan.io/tx/2ZXA1HKcJogdBzMtWbhiDKcfSmLFCT84kL5vjw2Mrg3eir3o3Gj1XNHdH99XMyPH5s29Xu1hxVFAu4EZDNqDZuHR
