wallet_address,tier,amount,tx_signature,status,timestamp
6aSrey36pvkAKAVvsKL84X4CkDEY4bQCp5hFh8NVcN4j,Diamond,250000,2qrUpZoRgp7yTNmdRxky8D3q1UXuEQTCb2cJyKnU6eqWbTaVtDmM1o9SZmbCdUKNqrZHX7jqsxX2MX4i64PkG1zU,confirmed,2026-05-03T10:45:00Z
ZzBAYTFDehbwrgzzgN8ecYUyHwokDFxfgbA945ZqGf3,Diamond,250000,2abb7hHidAmLj292FUZ3ukKn2x84RjqbfZ2J4JsK5yFwRNdUzDuaA3ZDjeW9xtKSqgEL9Uo5XXwtirDJ3RTFEizn,confirmed,2026-05-03T10:45:30Z
B2YbTVUsC4MTdSCcn7SAFwBcYrZFPxbTBNosNcvGjMuB,Diamond,250000,5VJ4cayTpGCCGZMmTfsB99eMUrtKcrZz5JgpKjpntaA2CEFPzi2cmRP6pcajm43WNVDGE7eRL6ow8Sw3k5tazagr,confirmed,2026-05-03T10:46:00Z
Em65he1pkAB3eGiMhd76qUujefmJ2KVwwXqxdT2YzMmE,Diamond,250000,5AePbmopunHxCrPAkwW1foxzA7bPNvysp2NS71GWtrSyYkXfqUmTAKYR2uZyeYxFUZgmbECUiHaFYHiC8fwvr26D,confirmed,2026-05-03T10:46:30Z
3NJWD1M1uG9mwWLkGWFQ3LqqDCh1pJSDGfQXmb3fdADH,Diamond,250000,41ibjqXbCgqBU4NsBeQy1ZHky1tWvgjzFGXgTX8SFfA2pZ4WsydMuTznW68tj1unyJmNzAWQ2DWtmsPdyCRTFmi2,confirmed,2026-05-03T10:47:00Z
5S5VVx5shTBEZfqxBiePif4Y5mmFo1FMxZgLiuHfphz3,Diamond,250000,4dKASCJ97r6JWpYnqXiWQwSAeny6nRJUKATpsa5J6fdfF8ai8JkpXhwSbjYTRatj4968HP3vGk56XYcBSknpfoi4,confirmed,2026-05-03T10:50:00Z
UpFr5jN23yd6D2neDSqnG3QnkSmpWN6xXpJq7cpWsxf,Diamond,250000,3Zmd9a3UBjSwtGXb2uZeoWEF4phaAYQRLo16ftCBz8isRLAjSgqgn1BFaspBcTtES3o5r6KXsZjRxNnk8CbFqAkh,confirmed,2026-05-03T10:50:30Z
9SFtm4S5QNDdMuWwgpy8E7ZhqRfgmjNtE1JLqkzPKj9F,Gold,125000,5CB3ZiSSbFpJMysZs1YkKqaLzhZE9B5c3vpTKb12sYZnUT6RciNToG1xxdFUUobmSUbFpt9aEpsqnSy8Lwi5pad5,confirmed,2026-05-03T10:47:30Z
J4wsP4HZHDL5SPa7kZBQGcyksrCdHoYgVFigiW1qFGuC,Gold,125000,4AnXPd8cScjbE1AiMnTFC1irYCP7KAYg2amuYQiyVdjR8uojRvnKefxdCz7ZHCQnrUf3JiS1zxJBf2Xv9fit5WzZ,confirmed,2026-05-03T10:48:00Z
CBReL95M1gS3SaeK7m38mpLKWmeAYk5KqyF9ND4Ta84y,Gold,125000,2LPhSSSrvE4nezCGayBJew443eAeHSyERp6i3YRKwaCX51rSr1sthwQ82PGHBt55roLiiP7jQg6S3YQdMZyem9tj,confirmed,2026-05-03T10:48:30Z
9i94aZP57tD8Lz5RxZqXoHPZKvv1i2dX6LQzK5z8EyzH,Gold,125000,4ds7p1QJPCf8omMYEEhktxC4bN7R9AzXQwisupChK5hbLwqqVxu4LJMnCtXWtZbDTiACPQVBqHZ7M648Q48HcXpL,confirmed,2026-05-03T10:49:00Z
7erEFC8AoEQW1WL5pfF15ArRRQ4uycTTA6hyncjxVLJD,Gold,125000,3pxGhWrxHXpeRF18LYCYdPa1pjxNU4zhJY1FEeJxHqPgvp8dUf7ibXZH6564WdMDNa83jEQ7ogQSgqX7vsTkHz7t,confirmed,2026-05-03T10:49:30Z
36J6TkbFc3QLEtT5V6H9hjXFKcRU5RKxqtbvtq55GEKc,Gold,125000,331Y3DsG87PWBeMvKAURU4mRkCntY9wURXHSuffL2Z3Ce2pJA23yjwdoJY49GGo5shPXCHCeqen5EteGiSVVyN6q,confirmed,2026-05-03T10:50:00Z
EZwbHQ54PwcsL9iHsaEG1ruMEjVHed8iBmv1esA1rs8n,Gold,125000,ox9WabnSBvJCL6cZJBfcGnL1Gnqn4VoHZ2wxKQcGBqsQxbbUN8feuhJiZyjgBauwPGMYrT8RdvM1C62bfi6nwzM,confirmed,2026-05-03T10:50:30Z
Cmw2B5LxVCrmw4zsdJoN4oRh9d5HErfn7mddepNmdky8,Gold,125000,5F1CQEbuDN8K9dbBgmu4Cu9gc5wLDHaxEJUGGLqAyFxMGVLBkmHyTJ1T8gaGexeSkH2kqNx8HPJM1UUp3yTxYLSj,confirmed,2026-05-03T10:51:00Z
A4R3nauxCbbddvm54UP6GD64SoY8BVftDJLd1hMA4yNB,Gold,125000,2TwtGueAbWUYxjDwxuohqS2vjFrcoRP5UkFm3JtBdhaW3sL8SutwSqatUjh3rdmKDEyrt6BAdounHEsSGyJhzBmR,confirmed,2026-05-03T10:51:30Z
63878UJuLZPNFTkU99xi4rPqBx4tnvQ5NMk677gwQGsi,Gold,125000,5Cr5DoUY5npQxbmUkFmok9qC6G1U4t6TUSxmmvhV3Z5Utspuzpd47GKuDGYDjY5imMnZPV5yaeaUmJiFtDWpz3FP,confirmed,2026-05-03T10:51:00Z
21BgRJNLCvpQximq33Q2XiXiTBkMGdshRJp5c5mz77os,Gold,125000,4421Fcs6E8VZN1HhpNjL2DHAdB17k4yFsU2UrDoQNfyoe8MpYrSgwC7eQ5rhjeY2i4ysj6ewEhiTEKK4HBX5pkYV,confirmed,2026-05-03T10:52:00Z
DJwK6keJYc8EZdSTySCjXBFN2QbWN6Xaf8iKiGWSckbh,Gold,125000,292kBuyBoLjoLUWBamP8nw3JUDrYniiUy2wpUk55dJCboBcUG61AjuLtgfuhimt2NCurTgZApYPVjceGNDNX5Ba7,confirmed,2026-05-03T10:52:30Z
