recipient_address,amount,token_mint,decimals
6aSrey36pvkAKAVvsKL84X4CkDEY4bQCp5hFh8NVcN4j,250000,52bJEa5NDpJyDbzKFaRDLgRCxALGb15W86x4Hbzopump,6
ZzBAYTFDehbwrgzzgN8ecYUyHwokDFxfgbA945ZqGf3,250000,52bJEa5NDpJyDbzKFaRDLgRCxALGb15W86x4Hbzopump,6
B2YbTVUsC4MTdSCcn7SAFwBcYrZFPxbTBNosNcvGjMuB,250000,52bJEa5NDpJyDbzKFaRDLgRCxALGb15W86x4Hbzopump,6
Em65he1pkAB3eGiMhd76qUujefmJ2KVwwXqxdT2YzMmE,250000,52bJEa5NDpJyDbzKFaRDLgRCxALGb15W86x4Hbzopump,6
3NJWD1M1uG9mwWLkGWFQ3LqqDCh1pJSDGfQXmb3fdADH,250000,52bJEa5NDpJyDbzKFaRDLgRCxALGb15W86x4Hbzopump,6
5S5VVx5shTBEZfqxBiePif4Y5mmFo1FMxZgLiuHfphz3,250000,52bJEa5NDpJyDbzKFaRDLgRCxALGb15W86x4Hbzopump,6
UpFr5jN23yd6D2neDSqnG3QnkSmpWN6xXpJq7cpWsxf,250000,52bJEa5NDpJyDbzKFaRDLgRCxALGb15W86x4Hbzopump,6
9SFtm4S5QNDdMuWwgpy8E7ZhqRfgmjNtE1JLqkzPKj9F,125000,52bJEa5NDpJyDbzKFaRDLgRCxALGb15W86x4Hbzopump,6
J4wsP4HZHDL5SPa7kZBQGcyksrCdHoYgVFigiW1qFGuC,125000,52bJEa5NDpJyDbzKFaRDLgRCxALGb15W86x4Hbzopump,6
CBReL95M1gS3SaeK7m38mpLKWmeAYk5KqyF9ND4Ta84y,125000,52bJEa5NDpJyDbzKFaRDLgRCxALGb15W86x4Hbzopump,6
9i94aZP57tD8Lz5RxZqXoHPZKvv1i2dX6LQzK5z8EyzH,125000,52bJEa5NDpJyDbzKFaRDLgRCxALGb15W86x4Hbzopump,6
7erEFC8AoEQW1WL5pfF15ArRRQ4uycTTA6hyncjxVLJD,125000,52bJEa5NDpJyDbzKFaRDLgRCxALGb15W86x4Hbzopump,6
36J6TkbFc3QLEtT5V6H9hjXFKcRU5RKxqtbvtq55GEKc,125000,52bJEa5NDpJyDbzKFaRDLgRCxALGb15W86x4Hbzopump,6
EZwbHQ54PwcsL9iHsaEG1ruMEjVHed8iBmv1esA1rs8n,125000,52bJEa5NDpJyDbzKFaRDLgRCxALGb15W86x4Hbzopump,6
Cmw2B5LxVCrmw4zsdJoN4oRh9d5HErfn7mddepNmdky8,125000,52bJEa5NDpJyDbzKFaRDLgRCxALGb15W86x4Hbzopump,6
A4R3nauxCbbddvm54UP6GD64SoY8BVftDJLd1hMA4yNB,125000,52bJEa5NDpJyDbzKFaRDLgRCxALGb15W86x4Hbzopump,6
63878UJuLZPNFTkU99xi4rPqBx4tnvQ5NMk677gwQGsi,125000,52bJEa5NDpJyDbzKFaRDLgRCxALGb15W86x4Hbzopump,6
21BgRJNLCvpQximq33Q2XiXiTBkMGdshRJp5c5mz77os,125000,52bJEa5NDpJyDbzKFaRDLgRCxALGb15W86x4Hbzopump,6
DJwK6keJYc8EZdSTySCjXBFN2QbWN6Xaf8iKiGWSckbh,125000,52bJEa5NDpJyDbzKFaRDLgRCxALGb15W86x4Hbzopump,6
