wallet,tier,amount,week3,week4,signature,status
6aSrey36pvkAKAVvsKL84X4CkDEY4bQCp5hFh8NVcN4j,Diamond,500000,250000,250000,55U8ij5hUw2AhC6DfCyTvuXR77YZzcTAKjLYKJFfRDqAX1uqhWDdgMxFdHFLk2y4Wzo6oYJceNzinmHiri3eUoqh,confirmed
ZzBAYTFDehbwrgzzgN8ecYUyHwokDFxfgbA945ZqGf3,Diamond,500000,250000,250000,55U8ij5hUw2AhC6DfCyTvuXR77YZzcTAKjLYKJFfRDqAX1uqhWDdgMxFdHFLk2y4Wzo6oYJceNzinmHiri3eUoqh,confirmed
B2YbTVUsC4MTdSCcn7SAFwBcYrZFPxbTBNosNcvGjMuB,Diamond,500000,250000,250000,55U8ij5hUw2AhC6DfCyTvuXR77YZzcTAKjLYKJFfRDqAX1uqhWDdgMxFdHFLk2y4Wzo6oYJceNzinmHiri3eUoqh,confirmed
CBReL95M1gS3SaeK7m38mpLKWmeAYk5KqyF9ND4Ta84y,Gold,250000,125000,125000,55U8ij5hUw2AhC6DfCyTvuXR77YZzcTAKjLYKJFfRDqAX1uqhWDdgMxFdHFLk2y4Wzo6oYJceNzinmHiri3eUoqh,confirmed
36J6TkbFc3QLEtT5V6H9hjXFKcRU5RKxqtbvtq55GEKc,Gold,250000,125000,125000,5izAMD8Wcnc5MZ1oSYk1nfW44gnMp46qnMw4JorzHvjdsrSzHbnWQeGj6mkHDbGKoy5BDhjq2eoW8CuX3mo4BCuy,confirmed
EZwbHQ54PwcsL9iHsaEG1ruMEjVHed8iBmv1esA1rs8n,Gold,250000,125000,125000,5izAMD8Wcnc5MZ1oSYk1nfW44gnMp46qnMw4JorzHvjdsrSzHbnWQeGj6mkHDbGKoy5BDhjq2eoW8CuX3mo4BCuy,confirmed
Cmw2B5LxVCrmw4zsdJoN4oRh9d5HErfn7mddepNmdky8,Gold,250000,125000,125000,5izAMD8Wcnc5MZ1oSYk1nfW44gnMp46qnMw4JorzHvjdsrSzHbnWQeGj6mkHDbGKoy5BDhjq2eoW8CuX3mo4BCuy,confirmed
63878UJuLZPNFTkU99xi4rPqBx4tnvQ5NMk677gwQGsi,Gold,250000,125000,125000,5izAMD8Wcnc5MZ1oSYk1nfW44gnMp46qnMw4JorzHvjdsrSzHbnWQeGj6mkHDbGKoy5BDhjq2eoW8CuX3mo4BCuy,confirmed
21BgRJNLCvpQximq33Q2XiXiTBkMGdshRJp5c5mz77os,Gold,250000,125000,125000,Hx5Tz4YwWtSk1GJhiWQ78KWMjnULK1C9wNkC2qjHwfqDh2iyPKHiWnHE2que3jjceHMQPudPLpSNHWBSxTheJg3,confirmed
DJwK6keJYc8EZdSTySCjXBFN2QbWN6Xaf8iKiGWSckbh,Gold,250000,125000,125000,Hx5Tz4YwWtSk1GJhiWQ78KWMjnULK1C9wNkC2qjHwfqDh2iyPKHiWnHE2que3jjceHMQPudPLpSNHWBSxTheJg3,confirmed
