wallet_address,tier,tokens_held,week_1,week_2,week_3,week_4,total_allocation,status
6aSrey36pvkAKAVvsKL84X4CkDEY4bQCp5hFh8NVcN4j,Diamond,92378865,250000,250000,250000,250000,1000000,eligible
ZzBAYTFDehbwrgzzgN8ecYUyHwokDFxfgbA945ZqGf3,Diamond,81405778,250000,250000,250000,250000,1000000,eligible
36J6TkbFc3QLEtT5V6H9hjXFKcRU5RKxqtbvtq55GEKc,Gold,22855400,125000,125000,125000,125000,500000,eligible
EZwbHQ54PwcsL9iHsaEG1ruMEjVHed8iBmv1esA1rs8n,Gold,19749691,125000,125000,125000,125000,500000,eligible
Cmw2B5LxVCrmw4zsdJoN4oRh9d5HErfn7mddepNmdky8,Gold,19253554,125000,125000,125000,125000,500000,eligible
21BgRJNLCvpQximq33Q2XiXiTBkMGdshRJp5c5mz77os,Gold,11466507,125000,125000,125000,125000,500000,eligible
DJwK6keJYc8EZdSTySCjXBFN2QbWN6Xaf8iKiGWSckbh,Gold,10125000,125000,125000,125000,125000,500000,eligible
GUc6q8eyBbppMa7qdNzCUDeVVqzEcqr33QvuZ63QfMQJ,Silver,7728922,62500,62500,62500,62500,250000,eligible
HcHud5ttvTkT4H3RSHQ2D8GCDd6ar5zB94mPz8pekMba,Silver,18151326,62500,62500,62500,62500,250000,eligible
GtYdoFGojHz54RXaWw3LQkjF89tdjjETfHv8kW4LRPaH,Silver,5429803,62500,62500,62500,62500,250000,eligible
ARzPMLivPH9GsRnwZWymXcPJX9Br1oEH5od3WzoKmX5Y,Silver,4287929,62500,62500,62500,62500,250000,eligible
